method,path,status,latency_ms,snippet
GET,/gpts/health,200,198,OK
GET,/gpts/unified/symbols,200,159,OK
POST,/gpts/unified/advanced,200,9850,whale & heatmap data OK
GET,/api/sol/complete,200,897,OK
GET,/api/sol/technical,200,400,OK
GET,/api/sol/funding,200,439,OK
GET,/api/sol/cvd,200,384,OK
GET,/api/sol/smc,200,1098,OK
GET,/api/ai/signal,200,638,OK
GET,/api/ai/enhanced-signal,200,183,OK
GET,/api/coinapi/assets,200,998,OK
GET,/api/coinapi/exchanges,200,257,OK
GET,/api/coinapi/twap/SOLUSDT,200,290,OK
GET,/api/coinapi/vwap/SOLUSDT,200,134,OK
GET,/health,200,483,OK
GET,/metrics,200,221,OK
HEAD,/api/gpts/signal,404,212,ATTN: alias needed
VERIFY,/health.commit,DIFF,0,ATTN: commit field missing
